I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
0.6517547,0.9361459,0.5529101,0.0165403,0.114029,0.8838242,0.9271019,0.5734201,0.7677088,0.3384773,0.6806431,0.4726048
0.4952514,0.7885709,0.1863526,0.00058006,0.3673276,0.862398,0.2433287,0.6268415,0.4952548,0.4356829,0.7934466,0.3267925
0.3062114,0.8461069,0.7174485,0.2314918,0.04303812,0.08220081,0.6247954,0.6163418,0.6119628,0.5984815,0.3178268,0.3102804
0.4233854,0.6228262,0.8308761,0.0268991,0.1477632,0.3756656,0.7203531,0.758428,0.4380803,0.4004322,0.3555267,0.5964593
0.3460695,0.535468,0.474863,0.002970776,0.07686668,0.5734867,0.4831902,0.7357765,0.1483981,0.7082623,0.5929338,0.2820466
0.5171772,0.7649754,0.7268884,0.857428,0.9512429,0.5315237,0.7647526,0.3796152,0.3414299,0.480797,0.3223267,0.657733
0.3837596,0.7805879,0.414039,0.001677184,0.7620844,0.07965805,0.4128754,0.1985336,0.2131372,0.5382366,0.9014869,0.4238006
0.5609066,0.7238261,0.4137734,0.9031663,0.1145895,0.9497227,0.1256675,0.05906413,0.1025599,0.7470761,0.09296854,0.4843523
0.5575368,0.9110152,0.6040099,0.004305038,0.2343217,0.063176,0.8402767,0.2782095,0.4629996,0.5402033,0.662151,0.4208059
0.4255435,0.8970276,0.2531918,0.9402508,0.2489202,0.8977057,0.2942881,0.6538836,0.7176593,0.3662937,0.5329505,0.3251829
0.5634617,0.8837316,0.5851259,0.006826291,0.3992538,0.000843626,0.3498208,0.01799924,0.5266932,0.4503761,0.4754834,0.3159487
0.5890227,0.5323492,0.4976432,0.9390526,0.9704727,0.4685107,0.02139974,0.8633628,0.06146817,0.2488866,0.3214435,0.4982177
0.5438375,0.6116191,0.4231488,0.004141572,0.587912,0.4807846,0.1725289,0.1245377,0.02484197,0.7882809,0.7144821,0.2990513
0.359947,0.7765654,0.2085268,0.06251597,0.243892,0.8527458,0.3314387,0.6526033,0.5056541,0.5771444,0.7906757,0.7044173
0.4157544,0.6356611,0.5342643,0.09148706,0.2301071,0.240256,0.5017291,0.1640126,0.008033497,0.6607312,0.05651961,0.2568575
0.6110392,0.6936263,0.5733021,0.9046731,0.7768004,0.8425791,0.9270713,0.1496672,0.08684688,0.2545965,0.1689028,0.4018554
0.4580043,0.445396,0.7013257,0.9018466,0.426353,0.4849456,0.7115912,0.9977083,0.3278441,0.5429026,0.3489098,0.358278
0.3448294,0.6161381,0.5451113,0.8827681,0.7009588,0.5148209,0.5561899,0.4013688,0.0963837,0.2949022,0.3813346,0.3393145
0.674517,0.5366261,0.3852595,0.9339246,0.7751989,0.3466054,0.07068073,0.778075,0.216721,0.3520335,0.7927555,0.5378795
0.5143534,0.8707772,0.4057599,0.185054,0.8111914,0.466798,0.2726967,0.2331027,0.4629729,0.4078158,0.04907477,0.4338052
0.5158411,0.8159319,0.2069794,0.8714295,0.5951461,0.1237825,0.257225,0.6542934,0.5728878,0.6004187,0.9387953,0.434583
0.7279696,0.7950026,0.6716458,0.09504205,0.614085,0.8064874,0.9129395,0.9216046,0.8735358,0.2953758,0.01572771,0.3520987
0.3027793,0.847699,0.6766476,0.09305469,0.325681,0.3077202,0.5980872,0.6341574,0.6602835,0.6072617,0.07444264,0.3824623
0.5231824,0.6177169,0.439658,0.922962,0.8603783,0.7637534,0.2485668,0.4376251,0.001923837,0.7292584,0.9608687,0.7141721
0.7471946,0.6593915,0.3677272,0.8039974,0.7656283,0.1688755,0.0650215,0.6096359,0.2946525,0.420646,0.8462219,0.6432507
0.7411532,0.554912,0.5352617,0.8934184,0.07377909,0.5641485,0.9827656,0.7197952,0.2303046,0.5476999,0.6700125,0.6511661
0.6842867,0.9272255,0.5765349,0.9322849,0.4916572,0.1126833,0.9397227,0.5567326,0.7045997,0.7671747,0.5761532,0.3181056
0.5807862,0.6447637,0.3633044,0.9312106,0.8173916,0.5040311,0.1581568,0.3820085,0.1628584,0.521551,0.1689499,0.4093951
0.4127984,0.7272664,0.1305358,0.1210163,0.3412181,0.8421683,0.2880412,0.8220064,0.6153089,0.5183536,0.626863,0.3009013
0.4680208,0.9399887,0.5151673,0.1343377,0.8475862,0.01474103,0.5523539,0.2833008,0.6320688,0.5181675,0.3033013,0.3782563
0.2537817,0.7516029,0.4765314,0.2125774,0.2939126,0.574256,0.4874733,0.4127228,0.3191806,0.334415,0.4650012,0.5065915
0.2368137,0.8154457,0.3441029,0.8478127,0.4048296,0.6169406,0.4270122,0.7371005,0.7182153,0.4244061,0.1145965,0.7155288
0.4822936,0.6004468,0.4318237,0.9352251,0.9546127,0.4961056,0.2757716,0.1958486,0.006012444,0.5228755,0.2275095,0.3969402
0.5912481,0.5049383,0.2588814,0.9897469,0.9286563,0.7048066,0.2118537,0.9145551,0.3497348,0.6765624,0.8830354,0.728906
0.5268651,0.8711349,0.2232443,0.1376725,0.5057454,0.1169575,0.246869,0.7143376,0.7489929,0.3649285,0.2988552,0.4875367
0.7504363,0.6075808,0.6681724,0.1462927,0.5208637,0.3955391,0.9072384,0.6923691,0.320563,0.5173717,0.6250696,0.3998676
0.6178317,0.5341304,0.241253,0.8226771,0.1121962,0.5635889,0.1990953,0.8642468,0.370618,0.375799,0.1473427,0.3552899
0.5819976,0.7538066,0.5989335,0.03661172,0.8470466,0.7420114,0.8641192,0.08388742,0.1951771,0.7393968,0.5463739,0.5687054
0.715671,0.557366,0.5479668,0.01482471,0.2416595,0.3299761,0.9864487,0.7325288,0.228054,0.3594297,0.1907769,0.7281218
0.5977679,0.5377691,0.5780461,0.959545,0.4987009,0.5499788,0.8928803,0.7395568,0.1031795,0.475794,0.4973027,0.4640794
0.7766302,0.7180691,0.7132463,0.9044675,0.8091782,0.6517288,0.9067554,0.7493538,0.5666233,0.7028354,0.7998703,0.5490589
0.3738626,0.905998,0.5139557,0.1380583,0.970441,0.2200961,0.5260708,0.3110052,0.5316408,0.4730035,0.2671445,0.4439561
0.3971081,0.7361842,0.3994585,0.8693826,0.3156246,0.8595238,0.3702387,0.1368323,0.1525107,0.4735021,0.7021976,0.6985425
0.5588545,0.5555259,0.6113375,0.01074114,0.5696567,0.4716811,0.8198866,0.6550965,0.06863714,0.4579111,0.6224871,0.4073816
0.354022,0.913412,0.5166294,0.04459443,0.05586904,0.168822,0.5030501,0.3468476,0.5316811,0.596903,0.3549173,0.418124
0.4013364,0.647238,0.6460778,0.1898525,0.1745323,0.5832138,0.6794717,0.4708903,0.1835763,0.4129843,0.03651235,0.5688923
0.3513598,0.5977137,0.1961026,0.1759376,0.07940961,0.4098577,0.3127202,0.7959829,0.4176604,0.3836434,0.7037109,0.4593171
0.2868505,0.6075251,0.2958917,0.829006,0.4206568,0.8711544,0.3635426,0.7530326,0.3339555,0.4077012,0.9622088,0.6917253
0.4746478,0.6667861,0.3202752,0.1074842,0.6118739,0.1196026,0.2836905,0.4163284,0.1228578,0.538327,0.9918309,0.4125855
0.4590319,0.590855,0.8627608,0.03876196,0.3198556,0.4326804,0.7316782,0.8738426,0.5296167,0.5051176,0.336348,0.4487104
0.6202469,0.691161,0.4303025,0.8189904,0.861577,0.9989668,0.07614303,0.1613516,0.08700933,0.4780864,0.7927307,0.6421868
0.4685672,0.9401028,0.4952381,0.8786224,0.4051884,0.9595277,0.3402761,0.2795029,0.6095769,0.3767434,0.7397147,0.3686669
0.463568,0.8243716,0.5605885,0.9888854,0.1591482,0.1530859,0.6717513,0.02233147,0.2792622,0.6308319,0.5306598,0.3920079
0.3396882,0.5459007,0.3102339,0.02131171,0.9408388,0.4582581,0.3614071,0.7394794,0.2606318,0.4622321,0.5080931,0.4904667
0.5443181,0.622111,0.4022202,0.1714838,0.02437292,0.4996454,0.1514054,0.1586454,0.01574074,0.3752896,0.6984551,0.438562
0.4049191,0.5816254,0.4423563,0.9701414,0.6871005,0.4591709,0.4247527,0.4797665,0.03108869,0.5759463,0.5977647,0.5578275
0.6394463,0.5403902,0.3707641,0.9330548,0.9671788,0.7485455,0.1443134,0.8186979,0.1758039,0.3079964,0.01648726,0.4872315
0.3217355,0.7684084,0.2522621,0.959266,0.9821713,0.3737954,0.3375122,0.6428542,0.5485159,0.5719699,0.10622,0.4346662
0.5496417,0.8719824,0.7583846,0.08396811,0.1894679,0.2445809,0.7921454,0.6167123,0.6723148,0.4190814,0.2420897,0.5050898
0.5207965,0.9205604,0.4317731,0.9689571,0.7255536,0.02432526,0.7166116,0.1397986,0.5862398,0.4173466,0.5694154,0.324596
0.6068509,0.9336259,0.497357,0.02234117,0.2613081,0.06434425,0.02410537,0.3303712,0.5412221,0.2661916,0.3048225,0.5724795
0.2287094,0.4851063,0.3606723,0.9368537,0.6214947,0.5042123,0.4263393,0.9429688,0.4116732,0.3511018,0.4696919,0.2744377
0.3325511,0.6251667,0.4828048,0.8499498,0.6626466,0.4916727,0.4983068,0.3961128,0.1039858,0.5918111,0.6702491,0.5832323
0.3097871,0.6981355,0.1946366,0.9424716,0.8169917,0.2933025,0.3392618,0.7303527,0.5043826,0.6385154,0.5116132,0.4151751
0.5025295,0.618589,0.5727116,0.05463281,0.3488407,0.5812101,0.7890087,0.09608784,0.02392763,0.4537495,0.1181735,0.4947854
0.854979,0.7557317,0.571806,0.8769118,0.6227803,0.9895308,0.9751813,0.9451746,0.7930204,0.5770349,0.7034704,0.531296
0.4058616,0.6492159,0.7055609,0.9959616,0.7986518,0.5300898,0.6790491,0.491609,0.2468418,0.5166292,0.3027316,0.6799498
0.4471822,0.9222947,0.5154499,0.09670857,0.8829,0.05009143,0.5421362,0.2068906,0.5056914,0.5176734,0.4491141,0.3970619
0.7304465,0.7513338,0.625842,0.9144239,0.2748019,0.3914889,0.9261918,0.4738694,0.3820958,0.7566211,0.7000632,0.3599753
0.496229,0.907161,0.5296828,0.2072612,0.2706211,0.3091034,0.1018259,0.445283,0.8389329,0.5672622,0.9134271,0.6299417
0.2476947,0.8132377,0.5753242,0.1418575,0.1053937,0.3484131,0.549022,0.484183,0.4707692,0.4765073,0.3240726,0.4418465
0.5126479,0.9190408,0.4751933,0.9255623,0.8208962,0.01345377,0.7473572,0.143403,0.5134325,0.4425949,0.7006162,0.3313578
0.6171998,0.5801799,0.1263447,0.8429114,0.4649232,0.5033314,0.2002982,0.9637204,0.6035743,0.5546396,0.4481911,0.5760148
0.5028263,0.8985125,0.5313857,0.06102155,0.2470012,0.07468637,0.6755217,0.1192662,0.4332582,0.392164,0.6667036,0.6058341
0.6587052,0.7514216,0.3109657,0.03653457,0.8502326,0.6136683,0.1534808,0.4956048,0.4012704,0.4292081,0.05539481,0.4120478
0.3713741,0.8923661,0.288372,0.9182564,0.1983321,0.8992353,0.3416105,0.5472881,0.5998156,0.5806755,0.5845044,0.6062918
0.7348216,0.8256689,0.3279186,0.1003908,0.3606355,0.9827297,0.09780455,0.5734837,0.4978974,0.4801149,0.7431908,0.3912825
0.4684264,0.8043882,0.5668076,0.8270892,0.01820772,0.3139713,0.7432073,0.04786347,0.2885108,0.6930369,0.8586885,0.4095242
0.6161068,0.7764354,0.203427,0.08926784,0.01265639,0.6952746,0.2042918,0.6598696,0.556613,0.3889714,0.1872257,0.3962038
0.6917513,0.5754501,0.4496292,0.9026465,0.5588549,0.6968966,0.03902098,0.7146972,0.2434667,0.5066109,0.0539391,0.4506412
0.8081928,0.667894,0.7169285,0.863232,0.202211,0.4652652,0.9020564,0.8263077,0.5822882,0.2045151,0.6478844,0.3555064
0.3098193,0.912077,0.4315208,0.8727906,0.2368479,0.122797,0.4226386,0.5602567,0.6782244,0.6673808,0.2050009,0.515172
0.5330346,0.8720944,0.5066261,0.1087843,0.5125201,0.1370725,0.3091675,0.0401694,0.420103,0.6437774,0.7894185,0.7253042
0.6722888,0.6902353,0.5094665,0.9373711,0.4442853,0.5473263,0.9782355,0.3400182,0.2189331,0.2424481,0.8890418,0.2501586
0.6598597,0.912623,0.5921341,0.08112491,0.09810752,0.003753725,0.9238688,0.4213412,0.5360753,0.2489925,0.3506222,0.5550022
0.6911072,0.8474117,0.4875999,0.2230887,0.4605674,0.3119551,0.03083352,0.3490933,0.4297987,0.3890927,0.2345253,0.468175
0.2697238,0.7171951,0.7672056,0.02106334,0.02933662,0.00619447,0.6355897,0.8180214,0.5647509,0.4923536,0.9829484,0.4455779
0.4975289,0.5710771,0.704564,0.05349409,0.1082167,0.3780275,0.7666932,0.6545619,0.1828093,0.3406744,0.2719395,0.6959068
